,0,1
0,0.0,0.0
1,0.0,0.01
2,0.0,0.02
3,0.0,0.03
4,0.0,0.04
5,0.0,0.05
6,0.0,0.06
7,0.0,0.07
8,0.0,0.08
9,0.0,0.09
10,0.0,0.1
11,0.0,0.11
12,0.0,0.12
13,0.0,0.13
14,0.0,0.14
15,0.0,0.15
16,0.0,0.16
17,0.0,0.17
18,0.0,0.18
19,0.0,0.19
20,0.0,0.2
21,0.0,0.21
22,0.0,0.22
23,0.0,0.23
24,0.0,0.24
25,0.0,0.25
26,0.0,0.26
27,0.0,0.27
28,0.0,0.28
29,0.0,0.29
30,0.0,0.3
31,0.0,0.31
32,0.0,0.32
33,0.0,0.33
34,0.0,0.34
35,0.0,0.35000000000000003
36,0.0,0.36
37,0.0,0.37
38,0.0,0.38
39,0.0,0.39
40,0.0,0.4
41,0.0,0.41000000000000003
42,0.0,0.42
43,0.0,0.43
44,0.0,0.44
45,0.0,0.45
46,0.0,0.46
47,0.0,0.47000000000000003
48,0.0,0.48
49,0.0,0.49
50,0.0,0.5
51,0.0,0.51
52,0.0,0.52
53,0.0,0.53
54,0.0,0.54
55,0.0,0.55
56,0.0,0.56
57,0.0,0.5700000000000001
58,0.0,0.58
59,0.0,0.59
60,0.0,0.6
61,0.0,0.61
62,0.0,0.62
63,0.0,0.63
64,0.0,0.64
65,0.0,0.65
66,0.0,0.66
67,0.0,0.67
68,0.0,0.68
69,0.0,0.6900000000000001
70,0.0,0.7000000000000001
71,0.0,0.71
72,0.0,0.72
73,0.0,0.73
74,0.0,0.74
75,0.0,0.75
76,0.0,0.76
77,0.0,0.77
78,0.0,0.78
79,0.0,0.79
80,0.0,0.8
81,0.0,0.81
82,0.0,0.8200000000000001
83,0.0,0.8300000000000001
84,0.0,0.84
85,0.0,0.85
86,0.0,0.86
87,0.0,0.87
88,0.0,0.88
89,0.0,0.89
90,0.0,0.9
91,0.0,0.91
92,0.0,0.92
93,0.0,0.93
94,0.0,0.9400000000000001
95,0.0,0.9500000000000001
96,0.0,0.96
97,0.0,0.97
98,0.0,0.98
99,0.0,0.99
100,0.01,0.0
101,0.01,0.01
102,0.01,0.02
103,0.01,0.03
104,0.01,0.04
105,0.01,0.05
106,0.01,0.06
107,0.01,0.07
108,0.01,0.08
109,0.01,0.09
110,0.01,0.1
111,0.01,0.11
112,0.01,0.12
113,0.01,0.13
114,0.01,0.14
115,0.01,0.15
116,0.01,0.16
117,0.01,0.17
118,0.01,0.18
119,0.01,0.19
120,0.01,0.2
121,0.01,0.21
122,0.01,0.22
123,0.01,0.23
124,0.01,0.24
125,0.01,0.25
126,0.01,0.26
127,0.01,0.27
128,0.01,0.28
129,0.01,0.29
130,0.01,0.3
131,0.01,0.31
132,0.01,0.32
133,0.01,0.33
134,0.01,0.34
135,0.01,0.35000000000000003
136,0.01,0.36
137,0.01,0.37
138,0.01,0.38
139,0.01,0.39
140,0.01,0.4
141,0.01,0.41000000000000003
142,0.01,0.42
143,0.01,0.43
144,0.01,0.44
145,0.01,0.45
146,0.01,0.46
147,0.01,0.47000000000000003
148,0.01,0.48
149,0.01,0.49
150,0.01,0.5
151,0.01,0.51
152,0.01,0.52
153,0.01,0.53
154,0.01,0.54
155,0.01,0.55
156,0.01,0.56
157,0.01,0.5700000000000001
158,0.01,0.58
159,0.01,0.59
160,0.01,0.6
161,0.01,0.61
162,0.01,0.62
163,0.01,0.63
164,0.01,0.64
165,0.01,0.65
166,0.01,0.66
167,0.01,0.67
168,0.01,0.68
169,0.01,0.6900000000000001
170,0.01,0.7000000000000001
171,0.01,0.71
172,0.01,0.72
173,0.01,0.73
174,0.01,0.74
175,0.01,0.75
176,0.01,0.76
177,0.01,0.77
178,0.01,0.78
179,0.01,0.79
180,0.01,0.8
181,0.01,0.81
182,0.01,0.8200000000000001
183,0.01,0.8300000000000001
184,0.01,0.84
185,0.01,0.85
186,0.01,0.86
187,0.01,0.87
188,0.01,0.88
189,0.01,0.89
190,0.01,0.9
191,0.01,0.91
192,0.01,0.92
193,0.01,0.93
194,0.01,0.9400000000000001
195,0.01,0.9500000000000001
196,0.01,0.96
197,0.01,0.97
198,0.01,0.98
199,0.01,0.99
200,0.02,0.0
201,0.02,0.01
202,0.02,0.02
203,0.02,0.03
204,0.02,0.04
205,0.02,0.05
206,0.02,0.06
207,0.02,0.07
208,0.02,0.08
209,0.02,0.09
210,0.02,0.1
211,0.02,0.11
212,0.02,0.12
213,0.02,0.13
214,0.02,0.14
215,0.02,0.15
216,0.02,0.16
217,0.02,0.17
218,0.02,0.18
219,0.02,0.19
220,0.02,0.2
221,0.02,0.21
222,0.02,0.22
223,0.02,0.23
224,0.02,0.24
225,0.02,0.25
226,0.02,0.26
227,0.02,0.27
228,0.02,0.28
229,0.02,0.29
230,0.02,0.3
231,0.02,0.31
232,0.02,0.32
233,0.02,0.33
234,0.02,0.34
235,0.02,0.35000000000000003
236,0.02,0.36
237,0.02,0.37
238,0.02,0.38
239,0.02,0.39
240,0.02,0.4
241,0.02,0.41000000000000003
242,0.02,0.42
243,0.02,0.43
244,0.02,0.44
245,0.02,0.45
246,0.02,0.46
247,0.02,0.47000000000000003
248,0.02,0.48
249,0.02,0.49
250,0.02,0.5
251,0.02,0.51
252,0.02,0.52
253,0.02,0.53
254,0.02,0.54
255,0.02,0.55
256,0.02,0.56
257,0.02,0.5700000000000001
258,0.02,0.58
259,0.02,0.59
260,0.02,0.6
261,0.02,0.61
262,0.02,0.62
263,0.02,0.63
264,0.02,0.64
265,0.02,0.65
266,0.02,0.66
267,0.02,0.67
268,0.02,0.68
269,0.02,0.6900000000000001
270,0.02,0.7000000000000001
271,0.02,0.71
272,0.02,0.72
273,0.02,0.73
274,0.02,0.74
275,0.02,0.75
276,0.02,0.76
277,0.02,0.77
278,0.02,0.78
279,0.02,0.79
280,0.02,0.8
281,0.02,0.81
282,0.02,0.8200000000000001
283,0.02,0.8300000000000001
284,0.02,0.84
285,0.02,0.85
286,0.02,0.86
287,0.02,0.87
288,0.02,0.88
289,0.02,0.89
290,0.02,0.9
291,0.02,0.91
292,0.02,0.92
293,0.02,0.93
294,0.02,0.9400000000000001
295,0.02,0.9500000000000001
296,0.02,0.96
297,0.02,0.97
298,0.02,0.98
299,0.02,0.99
300,0.03,0.0
301,0.03,0.01
302,0.03,0.02
303,0.03,0.03
304,0.03,0.04
305,0.03,0.05
306,0.03,0.06
307,0.03,0.07
308,0.03,0.08
309,0.03,0.09
310,0.03,0.1
311,0.03,0.11
312,0.03,0.12
313,0.03,0.13
314,0.03,0.14
315,0.03,0.15
316,0.03,0.16
317,0.03,0.17
318,0.03,0.18
319,0.03,0.19
320,0.03,0.2
321,0.03,0.21
322,0.03,0.22
323,0.03,0.23
324,0.03,0.24
325,0.03,0.25
326,0.03,0.26
327,0.03,0.27
328,0.03,0.28
329,0.03,0.29
330,0.03,0.3
331,0.03,0.31
332,0.03,0.32
333,0.03,0.33
334,0.03,0.34
335,0.03,0.35000000000000003
336,0.03,0.36
337,0.03,0.37
338,0.03,0.38
339,0.03,0.39
340,0.03,0.4
341,0.03,0.41000000000000003
342,0.03,0.42
343,0.03,0.43
344,0.03,0.44
345,0.03,0.45
346,0.03,0.46
347,0.03,0.47000000000000003
348,0.03,0.48
349,0.03,0.49
350,0.03,0.5
351,0.03,0.51
352,0.03,0.52
353,0.03,0.53
354,0.03,0.54
355,0.03,0.55
356,0.03,0.56
357,0.03,0.5700000000000001
358,0.03,0.58
359,0.03,0.59
360,0.03,0.6
361,0.03,0.61
362,0.03,0.62
363,0.03,0.63
364,0.03,0.64
365,0.03,0.65
366,0.03,0.66
367,0.03,0.67
368,0.03,0.68
369,0.03,0.6900000000000001
370,0.03,0.7000000000000001
371,0.03,0.71
372,0.03,0.72
373,0.03,0.73
374,0.03,0.74
375,0.03,0.75
376,0.03,0.76
377,0.03,0.77
378,0.03,0.78
379,0.03,0.79
